,_id,country,city,confirmed,deaths,population,lat,long
143,61eab83a50fb09bc0bd861d4,China_Shanxi,True,266,0,0,37.5777,112.2922
144,61eab83a50fb09bc0bd861d5,China_Sichuan,True,1363,3,0,30.6171,102.7103
145,61eab83a50fb09bc0bd861d6,China_Tianjin,True,998,3,0,39.3054,117.323
146,61eab83a50fb09bc0bd861d7,China_Tibet,True,1,0,0,31.6927,88.0924
147,61eab83a50fb09bc0bd861d8,China_Unknown,True,0,0,0,,
148,61eab83a50fb09bc0bd861d9,China_Xinjiang,True,981,3,0,41.1129,85.2401
149,61eab83a50fb09bc0bd861da,China_Yunnan,True,1852,2,0,24.974,101.48700000000001
150,61eab83a50fb09bc0bd861db,China_Zhejiang,True,2101,1,0,29.1832,120.0934
151,61eab83a50fb09bc0bd861dc,Colombia,False,5655026,131627,49065615,,
152,61eab83a50fb09bc0bd861dd,Colombia_Amazonas,True,7232,260,0,-1.4429,-71.5724
153,61eab83a50fb09bc0bd861de,Colombia_Antioquia,True,880272,17216,0,7.1986,-75.3412
154,61eab83a50fb09bc0bd861df,Colombia_Arauca,True,14902,492,0,7.0762,-70.7105
155,61eab83a50fb09bc0bd861e0,Colombia_Atlantico,True,373728,9785,0,10.6966,-74.8741
156,61eab83a50fb09bc0bd861e1,Colombia_Bolivar,True,188657,3111,0,8.6704,-74.03
157,61eab83a50fb09bc0bd861e2,Colombia_Boyaca,True,116648,2611,0,5.4545,-73.362
158,61eab83a50fb09bc0bd861e3,Colombia_Caldas,True,112752,2316,0,5.2983,-75.2479
159,61eab83a50fb09bc0bd861e4,Colombia_Capital District,True,1601667,27885,0,4.711,-74.0721
160,61eab83a50fb09bc0bd861e5,Colombia_Caqueta,True,23826,954,0,0.8699,-73.8419
161,61eab83a50fb09bc0bd861e6,Colombia_Casanare,True,37841,944,0,5.7589,-71.5724
162,61eab83a50fb09bc0bd861e7,Colombia_Cauca,True,67116,1626,0,2.705,-76.82600000000002
163,61eab83a50fb09bc0bd861e8,Colombia_Cesar,True,98818,2581,0,9.3373,-73.6536
164,61eab83a50fb09bc0bd861e9,Colombia_Choco,True,17964,409,0,5.2528,-76.82600000000002
165,61eab83a50fb09bc0bd861ea,Colombia_Cordoba,True,112019,3764,0,8.0493,-75.574
166,61eab83a50fb09bc0bd861eb,Colombia_Cundinamarca,True,289907,6897,0,5.026,-74.03
167,61eab83a50fb09bc0bd861ec,Colombia_Guainia,True,2650,35,0,2.5854,-68.5247
168,61eab83a50fb09bc0bd861ed,Colombia_Guaviare,True,5335,97,0,1.0654,-73.2603
169,61eab83a50fb09bc0bd861ee,Colombia_Huila,True,94653,3253,0,2.5359,-75.5277
170,61eab83a50fb09bc0bd861ef,Colombia_La Guajira,True,50241,1460,0,11.3548,-72.5205
171,61eab83a50fb09bc0bd861f0,Colombia_Magdalena,True,107880,3508,0,10.4113,-74.4057
